,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependants,own_telephone,foreign_worker,class
323,<0,18,existing paid,furniture/equipment,2659,>=1000,1<=X<4,4,male single,none,2,car,28,stores,own,1,skilled,1,none,yes,good
324,no checking,18,critical/order existing credit,new car,1028,<100,1<=X<4,4,female div/dep/mar,none,3,real estate,36,stores,own,2,skilled,1,none,yes,good
325,<0,8,critical/order existing credit,new car,3398,<100,4<=X<7,1,male single,none,4,real estate,39,stores,own,2,unskilled resident,1,none,no,good
326,no checking,12,critical/order existing credit,furniture/equipment,5801,no known savings,>=7,2,male single,none,4,life insurance,49,stores,rent,1,skilled,1,yes,yes,good
327,no checking,24,existing paid,new car,1525,>=1000,4<=X<7,4,female div/dep/mar,none,3,car,34,stores,own,1,skilled,2,yes,yes,good
328,>=200,36,existing paid,radio/tv,4473,<100,>=7,4,male single,none,2,car,31,stores,own,1,skilled,1,none,yes,good
329,0<=X<200,6,existing paid,radio/tv,1068,<100,>=7,4,male single,none,4,car,28,stores,own,1,skilled,2,none,yes,good
330,<0,24,critical/order existing credit,used car,6615,<100,unemployed,2,male single,none,4,no known property,75,stores,for free,2,high qualif/self emp/mgmt,1,yes,yes,good
331,no checking,18,critical/order existing credit,education,1864,100<=X<500,1<=X<4,4,female div/dep/mar,none,2,real estate,30,stores,own,2,skilled,1,none,yes,bad
332,0<=X<200,60,existing paid,new car,7408,100<=X<500,<1,4,female div/dep/mar,none,2,life insurance,24,stores,own,1,high qualif/self emp/mgmt,1,none,yes,bad
333,no checking,48,critical/order existing credit,used car,11590,100<=X<500,1<=X<4,2,female div/dep/mar,none,4,car,24,bank,rent,2,unskilled resident,1,none,yes,bad
334,<0,24,no credits/all paid,furniture/equipment,4110,<100,>=7,3,male single,none,4,no known property,23,bank,rent,2,skilled,2,none,yes,bad
335,<0,6,critical/order existing credit,furniture/equipment,3384,<100,1<=X<4,1,male div/sep,none,4,real estate,44,stores,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
336,0<=X<200,13,existing paid,radio/tv,2101,<100,<1,2,female div/dep/mar,guarantor,4,life insurance,23,stores,own,1,unskilled resident,1,none,yes,good
337,<0,15,existing paid,domestic appliance,1275,no known savings,1<=X<4,4,female div/dep/mar,none,2,car,24,stores,rent,1,skilled,1,none,yes,bad
338,<0,24,existing paid,furniture/equipment,4169,<100,1<=X<4,4,male single,none,4,life insurance,28,stores,own,1,skilled,1,none,yes,good
339,0<=X<200,10,existing paid,furniture/equipment,1521,<100,1<=X<4,4,male div/sep,none,2,car,31,stores,own,1,unskilled resident,1,none,yes,good
340,0<=X<200,24,critical/order existing credit,education,5743,<100,<1,2,female div/dep/mar,none,4,no known property,24,stores,for free,2,skilled,1,yes,yes,good
341,<0,21,existing paid,furniture/equipment,3599,<100,4<=X<7,1,female div/dep/mar,none,4,car,26,stores,rent,1,unskilled resident,1,none,yes,good
342,0<=X<200,18,existing paid,radio/tv,3213,500<=X<10000,<1,1,male mar/wid,none,3,real estate,25,stores,rent,1,skilled,1,none,yes,good
343,0<=X<200,18,existing paid,business,4439,<100,>=7,1,male single,co applicant,1,real estate,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
344,>=200,10,existing paid,new car,3949,<100,<1,1,male single,guarantor,1,life insurance,37,stores,own,1,unskilled resident,2,none,yes,good
345,no checking,15,critical/order existing credit,radio/tv,1459,<100,1<=X<4,4,female div/dep/mar,none,2,car,43,stores,own,1,unskilled resident,1,none,yes,good
346,0<=X<200,13,critical/order existing credit,radio/tv,882,<100,<1,4,male single,guarantor,4,real estate,23,stores,own,2,skilled,1,none,yes,good
347,0<=X<200,24,existing paid,radio/tv,3758,500<=X<10000,unemployed,1,female div/dep/mar,none,4,no known property,23,stores,rent,1,unemp/unskilled non res,1,none,yes,good
348,no checking,6,delayed previously,business,1743,100<=X<500,1<=X<4,1,male single,none,2,real estate,34,stores,own,2,unskilled resident,1,none,yes,good
349,0<=X<200,9,critical/order existing credit,education,1136,>=1000,>=7,4,male single,none,3,no known property,32,stores,for free,2,skilled,2,none,yes,bad
350,no checking,9,existing paid,domestic appliance,1236,<100,<1,1,female div/dep/mar,none,4,real estate,23,stores,rent,1,skilled,1,yes,yes,good
351,0<=X<200,9,existing paid,furniture/equipment,959,<100,1<=X<4,1,female div/dep/mar,none,2,car,29,stores,own,1,skilled,1,none,no,bad
352,no checking,18,critical/order existing credit,used car,3229,no known savings,unemployed,2,male single,none,4,no known property,38,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
353,<0,12,no credits/all paid,radio/tv,6199,<100,1<=X<4,4,male single,none,2,life insurance,28,stores,rent,2,skilled,1,yes,yes,bad
354,no checking,10,existing paid,education,727,500<=X<10000,>=7,4,male single,none,4,no known property,46,stores,for free,1,skilled,1,yes,yes,good
355,0<=X<200,24,existing paid,new car,1246,<100,<1,4,male single,none,2,real estate,23,,own,1,unskilled resident,1,none,yes,bad
356,no checking,12,critical/order existing credit,radio/tv,2331,no known savings,>=7,1,male single,co applicant,4,real estate,49,stores,own,1,skilled,1,yes,yes,good
357,no checking,36,delayed previously,radio/tv,4463,<100,1<=X<4,4,male single,none,2,car,26,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
358,no checking,12,existing paid,radio/tv,776,<100,1<=X<4,4,male mar/wid,none,2,real estate,28,stores,own,1,skilled,1,none,yes,good
359,<0,30,existing paid,furniture/equipment,2406,<100,4<=X<7,4,female div/dep/mar,none,4,real estate,23,stores,rent,1,skilled,1,none,yes,bad
360,0<=X<200,18,existing paid,education,1239,no known savings,1<=X<4,4,male single,none,4,no known property,61,stores,for free,1,skilled,1,none,yes,good
361,>=200,12,existing paid,radio/tv,3399,no known savings,>=7,2,male single,none,3,car,37,stores,own,1,high qualif/self emp/mgmt,1,none,yes,good
362,>=200,12,delayed previously,new car,2247,<100,1<=X<4,2,female div/dep/mar,none,2,car,36,,own,2,skilled,1,yes,yes,good
363,no checking,6,existing paid,furniture/equipment,1766,<100,1<=X<4,1,male mar/wid,none,2,life insurance,21,stores,rent,1,skilled,1,none,yes,good
364,<0,18,existing paid,furniture/equipment,2473,<100,unemployed,4,male single,none,1,car,25,stores,own,1,unemp/unskilled non res,1,none,yes,bad
365,no checking,12,existing paid,business,1542,<100,4<=X<7,2,male single,none,4,car,36,stores,own,1,skilled,1,yes,yes,good
366,no checking,18,critical/order existing credit,used car,3850,<100,4<=X<7,3,male single,none,1,car,27,stores,own,2,skilled,1,none,yes,good
367,<0,18,existing paid,furniture/equipment,3650,<100,<1,1,female div/dep/mar,none,4,car,22,stores,rent,1,skilled,1,none,yes,good
368,<0,36,existing paid,furniture/equipment,3446,<100,>=7,4,male single,none,2,car,42,stores,own,1,skilled,2,none,yes,bad
369,0<=X<200,18,existing paid,furniture/equipment,3001,<100,4<=X<7,2,female div/dep/mar,none,4,real estate,40,stores,rent,1,skilled,1,none,yes,good
370,no checking,36,existing paid,new car,3079,no known savings,1<=X<4,4,male single,none,4,real estate,36,stores,own,1,skilled,1,none,yes,good
371,no checking,18,critical/order existing credit,radio/tv,6070,<100,>=7,3,male single,none,4,car,33,stores,own,2,skilled,1,yes,yes,good
372,no checking,10,critical/order existing credit,furniture/equipment,2146,<100,<1,1,female div/dep/mar,none,3,real estate,23,stores,rent,2,skilled,1,none,yes,good
373,no checking,60,critical/order existing credit,new car,13756,no known savings,>=7,2,male single,none,4,no known property,63,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
374,0<=X<200,60,all paid,other,14782,100<=X<500,>=7,3,female div/dep/mar,none,4,no known property,60,bank,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad
375,<0,48,all paid,business,7685,<100,4<=X<7,2,female div/dep/mar,guarantor,4,car,37,stores,rent,1,skilled,1,none,yes,bad
376,no checking,18,delayed previously,radio/tv,2320,<100,unemployed,2,male mar/wid,none,3,real estate,34,stores,own,2,skilled,1,none,yes,good
377,no checking,7,delayed previously,radio/tv,846,no known savings,>=7,3,male single,none,4,no known property,36,stores,for free,1,skilled,1,none,yes,good
378,0<=X<200,36,existing paid,new car,14318,<100,>=7,4,male single,none,2,no known property,57,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
379,no checking,6,critical/order existing credit,new car,362,100<=X<500,1<=X<4,4,female div/dep/mar,none,4,car,52,stores,own,2,unskilled resident,1,none,yes,good
380,<0,20,existing paid,furniture/equipment,2212,no known savings,4<=X<7,4,male single,none,4,car,39,stores,own,1,skilled,1,yes,yes,good
381,0<=X<200,18,existing paid,used car,12976,<100,unemployed,3,female div/dep/mar,none,4,no known property,38,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
382,no checking,22,existing paid,new car,1283,no known savings,4<=X<7,4,female div/dep/mar,none,4,life insurance,25,stores,rent,1,skilled,1,none,yes,good
383,>=200,12,existing paid,new car,1330,<100,<1,4,male single,none,1,real estate,26,stores,own,1,skilled,1,none,yes,good
384,no checking,30,delayed previously,business,4272,100<=X<500,1<=X<4,2,male single,none,2,life insurance,26,stores,own,2,unskilled resident,1,none,yes,good
385,no checking,18,critical/order existing credit,radio/tv,2238,<100,1<=X<4,2,female div/dep/mar,none,1,car,25,stores,own,2,skilled,1,none,yes,good
386,no checking,18,existing paid,radio/tv,1126,no known savings,<1,4,female div/dep/mar,none,2,real estate,21,stores,rent,1,skilled,1,yes,yes,good
387,0<=X<200,18,critical/order existing credit,furniture/equipment,7374,<100,unemployed,4,male single,none,4,life insurance,40,,own,2,high qualif/self emp/mgmt,1,yes,yes,good
388,0<=X<200,15,critical/order existing credit,business,2326,500<=X<10000,1<=X<4,2,male single,none,4,car,27,bank,own,1,skilled,1,none,yes,good
389,no checking,9,existing paid,business,1449,<100,4<=X<7,3,female div/dep/mar,none,2,car,27,stores,own,2,skilled,1,none,yes,good
390,no checking,18,existing paid,new car,1820,<100,1<=X<4,2,male mar/wid,none,2,life insurance,30,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
391,0<=X<200,12,existing paid,furniture/equipment,983,>=1000,<1,1,female div/dep/mar,none,4,real estate,19,stores,rent,1,unskilled resident,1,none,yes,good
392,<0,36,existing paid,new car,3249,<100,4<=X<7,2,male single,none,4,no known property,39,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes,good
393,<0,6,critical/order existing credit,radio/tv,1957,<100,4<=X<7,1,female div/dep/mar,none,4,car,31,stores,own,1,skilled,1,none,yes,good
394,no checking,9,critical/order existing credit,furniture/equipment,2406,<100,unemployed,2,male single,none,3,car,31,stores,own,1,high qualif/self emp/mgmt,1,none,yes,good
395,0<=X<200,39,delayed previously,education,11760,100<=X<500,4<=X<7,2,male single,none,3,no known property,32,stores,rent,1,skilled,1,yes,yes,good
396,<0,12,existing paid,furniture/equipment,2578,<100,unemployed,3,female div/dep/mar,none,4,no known property,55,stores,for free,1,high qualif/self emp/mgmt,1,none,yes,good
397,<0,36,critical/order existing credit,furniture/equipment,2348,<100,1<=X<4,3,male mar/wid,none,2,life insurance,46,stores,own,2,skilled,1,yes,yes,good
398,0<=X<200,12,existing paid,new car,1223,<100,>=7,1,male div/sep,none,1,real estate,46,stores,rent,2,skilled,1,none,yes,bad
399,no checking,24,critical/order existing credit,radio/tv,1516,>=1000,1<=X<4,4,female div/dep/mar,none,1,real estate,43,stores,own,2,unskilled resident,1,none,yes,good
400,no checking,18,existing paid,radio/tv,1473,<100,<1,3,male mar/wid,none,4,real estate,39,stores,own,1,skilled,1,yes,yes,good
401,0<=X<200,18,critical/order existing credit,business,1887,no known savings,1<=X<4,4,male mar/wid,none,4,real estate,28,bank,own,2,skilled,1,none,yes,good
402,no checking,24,delayed previously,business,8648,<100,<1,2,male single,none,2,car,27,bank,own,2,skilled,1,yes,yes,bad
403,no checking,14,delayed previously,new car,802,<100,1<=X<4,4,male single,none,2,car,27,stores,own,2,unskilled resident,1,none,yes,good
404,0<=X<200,18,delayed previously,new car,2899,no known savings,>=7,4,male single,none,4,car,43,stores,own,1,skilled,2,none,yes,good
405,0<=X<200,24,existing paid,radio/tv,2039,<100,<1,1,male mar/wid,none,1,life insurance,22,stores,own,1,skilled,1,yes,yes,bad
406,no checking,24,critical/order existing credit,used car,2197,no known savings,4<=X<7,4,male single,none,4,car,43,stores,own,2,skilled,2,yes,yes,good
407,<0,15,existing paid,radio/tv,1053,<100,<1,4,male mar/wid,none,2,real estate,27,stores,own,1,skilled,1,none,no,good
408,no checking,24,existing paid,radio/tv,3235,500<=X<10000,>=7,3,male div/sep,none,2,car,26,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
409,>=200,12,critical/order existing credit,new car,939,500<=X<10000,4<=X<7,4,male mar/wid,none,2,real estate,28,stores,own,3,skilled,1,yes,yes,bad
410,0<=X<200,24,existing paid,radio/tv,1967,<100,>=7,4,female div/dep/mar,none,4,car,20,stores,own,1,skilled,1,yes,yes,good
411,no checking,33,critical/order existing credit,used car,7253,<100,4<=X<7,3,male single,none,2,car,35,stores,own,2,high qualif/self emp/mgmt,1,yes,yes,good
412,no checking,12,critical/order existing credit,business,2292,<100,unemployed,4,male single,none,2,car,42,,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
413,no checking,10,existing paid,new car,1597,500<=X<10000,1<=X<4,3,male single,none,2,no known property,40,stores,rent,1,unskilled resident,2,none,no,good
414,<0,24,existing paid,new car,1381,no known savings,1<=X<4,4,female div/dep/mar,none,2,life insurance,35,stores,own,1,skilled,1,none,yes,bad
415,no checking,36,critical/order existing credit,used car,5842,<100,>=7,2,male single,none,2,life insurance,35,stores,own,2,skilled,2,yes,yes,good
416,<0,12,existing paid,new car,2579,<100,<1,4,male single,none,1,real estate,33,stores,own,1,unskilled resident,2,none,yes,bad
417,<0,18,delayed previously,education,8471,no known savings,1<=X<4,1,female div/dep/mar,none,2,car,23,stores,rent,2,skilled,1,yes,yes,good
418,no checking,21,existing paid,new car,2782,500<=X<10000,4<=X<7,1,female div/dep/mar,none,2,car,31,bank,own,1,high qualif/self emp/mgmt,1,none,yes,good
419,0<=X<200,18,existing paid,new car,1042,no known savings,1<=X<4,4,female div/dep/mar,none,2,life insurance,33,stores,own,1,skilled,1,none,yes,bad
420,no checking,15,existing paid,new car,3186,>=1000,4<=X<7,2,female div/dep/mar,none,3,car,20,stores,rent,1,skilled,1,none,yes,good
421,0<=X<200,12,existing paid,used car,2028,no known savings,1<=X<4,4,male single,none,2,car,30,stores,own,1,skilled,1,none,yes,good
422,0<=X<200,12,critical/order existing credit,new car,958,<100,4<=X<7,2,male single,none,3,real estate,47,stores,own,2,unskilled resident,2,none,yes,good
423,no checking,21,delayed previously,furniture/equipment,1591,100<=X<500,4<=X<7,4,male single,none,3,real estate,34,stores,own,2,high qualif/self emp/mgmt,1,none,yes,good
424,0<=X<200,12,existing paid,furniture/equipment,2762,no known savings,>=7,1,female div/dep/mar,none,2,life insurance,25,bank,own,1,skilled,1,yes,yes,bad
425,0<=X<200,18,existing paid,used car,2779,<100,1<=X<4,1,male mar/wid,none,3,car,21,stores,rent,1,skilled,1,yes,yes,good
426,no checking,28,critical/order existing credit,radio/tv,2743,<100,>=7,4,male single,none,2,car,29,stores,own,2,skilled,1,none,yes,good
427,no checking,18,critical/order existing credit,radio/tv,1149,>=1000,1<=X<4,4,male single,none,3,real estate,46,stores,own,2,skilled,1,none,yes,good
428,no checking,9,existing paid,furniture/equipment,1313,<100,>=7,1,male single,none,4,car,20,stores,own,1,skilled,1,none,yes,good
429,<0,18,critical/order existing credit,repairs,1190,<100,unemployed,2,female div/dep/mar,none,4,no known property,55,stores,for free,3,unemp/unskilled non res,2,none,yes,bad
430,no checking,5,existing paid,business,3448,<100,4<=X<7,1,male single,none,4,real estate,74,stores,own,1,unskilled resident,1,none,yes,good
431,0<=X<200,24,existing paid,other,11328,<100,1<=X<4,2,male single,co applicant,3,car,29,bank,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
432,<0,6,critical/order existing credit,furniture/equipment,1872,<100,unemployed,4,male single,none,4,no known property,36,stores,for free,3,high qualif/self emp/mgmt,1,yes,yes,good
433,no checking,24,critical/order existing credit,repairs,2058,<100,1<=X<4,4,male div/sep,none,2,real estate,33,stores,own,2,skilled,1,yes,yes,good
434,<0,9,existing paid,furniture/equipment,2136,<100,1<=X<4,3,male single,none,2,real estate,25,stores,own,1,skilled,1,none,yes,good
435,0<=X<200,12,existing paid,radio/tv,1484,no known savings,1<=X<4,2,male mar/wid,none,1,real estate,25,stores,own,1,skilled,1,yes,yes,bad
436,no checking,6,existing paid,repairs,660,500<=X<10000,4<=X<7,2,male mar/wid,none,4,real estate,23,stores,rent,1,unskilled resident,1,none,yes,good
437,no checking,24,critical/order existing credit,new car,1287,>=1000,>=7,4,female div/dep/mar,none,4,real estate,37,stores,own,2,skilled,1,yes,yes,good
438,<0,42,critical/order existing credit,repairs,3394,<100,unemployed,4,male single,co applicant,4,car,65,stores,own,2,unemp/unskilled non res,1,none,yes,good
439,>=200,12,all paid,business,609,<100,<1,4,female div/dep/mar,none,1,real estate,26,stores,own,1,unemp/unskilled non res,1,none,yes,bad
440,no checking,12,existing paid,new car,1884,<100,>=7,4,male single,none,4,car,39,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
441,<0,12,existing paid,furniture/equipment,1620,<100,1<=X<4,2,female div/dep/mar,co applicant,3,life insurance,30,stores,own,1,skilled,1,none,yes,good
442,0<=X<200,20,delayed previously,other,2629,<100,1<=X<4,2,male single,none,3,car,29,bank,own,2,skilled,1,yes,yes,good
443,no checking,12,existing paid,education,719,<100,>=7,4,male single,none,4,car,41,bank,own,1,unskilled resident,2,none,yes,bad
444,0<=X<200,48,critical/order existing credit,furniture/equipment,5096,<100,1<=X<4,2,female div/dep/mar,none,3,car,30,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
445,no checking,9,critical/order existing credit,education,1244,no known savings,>=7,4,female div/dep/mar,none,4,life insurance,41,stores,rent,2,unskilled resident,1,none,yes,good
446,<0,36,existing paid,new car,1842,<100,<1,4,female div/dep/mar,none,4,car,34,stores,own,1,skilled,1,yes,yes,bad
447,0<=X<200,7,existing paid,radio/tv,2576,<100,1<=X<4,2,male single,guarantor,2,real estate,35,stores,own,1,skilled,1,none,yes,good
448,>=200,12,existing paid,furniture/equipment,1424,no known savings,>=7,3,female div/dep/mar,none,4,real estate,55,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
449,0<=X<200,15,delayed previously,repairs,1512,>=1000,1<=X<4,3,male mar/wid,none,3,life insurance,61,,own,2,skilled,1,none,yes,bad
450,no checking,36,critical/order existing credit,used car,11054,no known savings,1<=X<4,4,male single,none,2,car,30,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
451,no checking,6,existing paid,radio/tv,518,<100,1<=X<4,3,female div/dep/mar,none,1,real estate,29,stores,own,1,skilled,1,none,yes,good
452,no checking,12,no credits/all paid,furniture/equipment,2759,<100,>=7,2,male single,none,4,life insurance,34,stores,own,2,skilled,1,none,yes,good
453,no checking,24,existing paid,used car,2670,<100,>=7,4,male single,none,4,car,35,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
454,<0,24,existing paid,new car,4817,<100,4<=X<7,2,male single,co applicant,3,life insurance,31,stores,own,1,skilled,1,yes,yes,bad
455,no checking,24,existing paid,used car,2679,<100,<1,4,female div/dep/mar,none,1,no known property,29,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
456,<0,11,critical/order existing credit,new car,3905,<100,1<=X<4,2,male single,none,2,real estate,36,stores,rent,2,skilled,2,none,yes,good
457,<0,12,existing paid,used car,3386,<100,>=7,3,male single,none,4,no known property,35,stores,for free,1,skilled,1,yes,yes,bad
458,<0,6,existing paid,domestic appliance,343,<100,<1,4,female div/dep/mar,none,1,real estate,27,stores,own,1,skilled,1,none,yes,good
459,no checking,18,existing paid,radio/tv,4594,<100,<1,3,male single,none,2,car,32,stores,own,1,skilled,1,yes,yes,good
460,<0,36,existing paid,furniture/equipment,3620,<100,1<=X<4,1,male single,guarantor,2,life insurance,37,stores,own,1,skilled,2,none,yes,good
461,<0,15,existing paid,new car,1721,<100,<1,2,male single,none,3,real estate,36,stores,own,1,skilled,1,none,yes,good
462,0<=X<200,12,existing paid,furniture/equipment,3017,<100,<1,3,female div/dep/mar,none,1,real estate,34,stores,rent,1,high qualif/self emp/mgmt,1,none,yes,good
463,0<=X<200,12,existing paid,retraining,754,no known savings,>=7,4,male single,none,4,life insurance,38,stores,own,2,skilled,1,none,yes,good
464,no checking,18,existing paid,business,1950,<100,4<=X<7,4,male single,none,1,car,34,,own,2,skilled,1,yes,yes,good
465,<0,24,existing paid,used car,2924,<100,1<=X<4,3,male single,guarantor,4,no known property,63,bank,own,1,skilled,2,yes,yes,good
466,<0,24,delayed previously,radio/tv,1659,<100,<1,4,female div/dep/mar,none,2,car,29,stores,rent,1,unskilled resident,1,yes,yes,bad
467,no checking,48,delayed previously,radio/tv,7238,no known savings,>=7,3,male single,none,3,car,32,bank,own,2,skilled,2,none,yes,good
468,no checking,33,delayed previously,business,2764,<100,1<=X<4,2,female div/dep/mar,none,2,car,26,stores,own,2,skilled,1,yes,yes,good
469,no checking,24,delayed previously,used car,4679,<100,4<=X<7,3,male single,none,3,car,35,stores,own,2,unskilled resident,1,yes,yes,good
470,0<=X<200,24,existing paid,radio/tv,3092,100<=X<500,<1,3,male mar/wid,none,2,car,22,stores,rent,1,skilled,1,yes,yes,bad
471,<0,6,existing paid,education,448,<100,<1,4,female div/dep/mar,none,4,life insurance,23,stores,own,1,skilled,1,none,yes,bad
472,<0,9,existing paid,new car,654,<100,1<=X<4,4,male single,none,3,car,28,stores,own,1,unskilled resident,1,none,yes,bad
473,no checking,6,existing paid,retraining,1238,no known savings,unemployed,4,male single,none,4,life insurance,36,stores,own,1,high qualif/self emp/mgmt,2,yes,yes,good
474,0<=X<200,18,critical/order existing credit,radio/tv,1245,<100,1<=X<4,4,male mar/wid,none,2,car,33,stores,own,1,skilled,1,none,yes,bad
475,<0,18,no credits/all paid,furniture/equipment,3114,<100,<1,1,female div/dep/mar,none,4,life insurance,26,stores,rent,1,skilled,1,none,yes,bad
476,no checking,39,existing paid,used car,2569,500<=X<10000,1<=X<4,4,male single,none,4,car,24,stores,own,1,skilled,1,none,yes,good
477,>=200,24,existing paid,radio/tv,5152,<100,4<=X<7,4,male single,none,2,car,25,bank,own,1,skilled,1,none,yes,good
478,0<=X<200,12,existing paid,business,1037,100<=X<500,4<=X<7,3,male single,none,4,real estate,39,stores,own,1,unskilled resident,1,none,yes,good
479,<0,15,critical/order existing credit,furniture/equipment,1478,<100,>=7,4,male single,none,4,car,44,stores,own,2,skilled,2,yes,yes,good
480,0<=X<200,12,critical/order existing credit,radio/tv,3573,<100,1<=X<4,1,female div/dep/mar,none,1,real estate,23,stores,own,1,unskilled resident,1,none,yes,good
481,0<=X<200,24,existing paid,new car,1201,<100,<1,4,male single,none,1,life insurance,26,stores,own,1,skilled,1,none,yes,good
482,<0,30,existing paid,furniture/equipment,3622,>=1000,>=7,4,female div/dep/mar,none,4,life insurance,57,stores,rent,2,skilled,1,yes,yes,good
483,no checking,15,delayed previously,furniture/equipment,960,>=1000,4<=X<7,3,female div/dep/mar,none,2,life insurance,30,stores,own,2,skilled,1,none,yes,good
484,no checking,12,critical/order existing credit,new car,1163,500<=X<10000,1<=X<4,4,male single,none,4,real estate,44,stores,own,1,skilled,1,yes,yes,good
485,0<=X<200,6,delayed previously,new car,1209,<100,unemployed,4,male single,none,4,life insurance,47,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
486,no checking,12,existing paid,radio/tv,3077,<100,1<=X<4,2,male single,none,4,car,52,stores,own,1,skilled,1,yes,yes,good
487,no checking,24,existing paid,new car,3757,<100,>=7,4,female div/dep/mar,co applicant,4,no known property,62,stores,for free,1,skilled,1,yes,yes,good
488,no checking,10,existing paid,new car,1418,100<=X<500,1<=X<4,3,male single,none,2,real estate,35,stores,rent,1,unskilled resident,1,none,no,good
489,no checking,6,existing paid,new car,3518,<100,1<=X<4,2,male single,guarantor,3,life insurance,26,stores,rent,1,skilled,1,none,yes,good
490,no checking,12,critical/order existing credit,radio/tv,1934,<100,>=7,2,male single,none,2,no known property,26,stores,own,2,skilled,1,none,yes,good
491,0<=X<200,27,no credits/all paid,business,8318,<100,>=7,2,female div/dep/mar,none,4,no known property,42,stores,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad
492,no checking,6,critical/order existing credit,radio/tv,1237,100<=X<500,1<=X<4,1,female div/dep/mar,none,1,life insurance,27,stores,own,2,skilled,1,none,yes,good
493,0<=X<200,6,existing paid,radio/tv,368,no known savings,>=7,4,male single,none,4,life insurance,38,stores,own,1,skilled,1,none,yes,good
494,<0,12,critical/order existing credit,new car,2122,<100,1<=X<4,3,male single,none,2,real estate,39,stores,rent,2,unskilled resident,2,none,no,good
495,<0,24,existing paid,furniture/equipment,2996,no known savings,1<=X<4,2,male mar/wid,none,4,car,20,stores,own,1,skilled,1,none,yes,bad
496,0<=X<200,36,existing paid,furniture/equipment,9034,100<=X<500,<1,4,male single,co applicant,1,no known property,29,stores,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
497,no checking,24,critical/order existing credit,furniture/equipment,1585,<100,4<=X<7,4,male single,none,3,life insurance,40,stores,own,2,skilled,1,none,yes,good
498,0<=X<200,18,existing paid,radio/tv,1301,<100,>=7,4,male mar/wid,guarantor,2,real estate,32,stores,own,1,unskilled resident,1,none,yes,good
499,>=200,6,critical/order existing credit,new car,1323,100<=X<500,>=7,2,male div/sep,none,4,car,28,stores,own,2,skilled,2,yes,yes,good
500,<0,24,existing paid,new car,3123,<100,<1,4,female div/dep/mar,none,1,life insurance,27,stores,own,1,skilled,1,none,yes,bad
501,<0,36,existing paid,used car,5493,<100,>=7,2,male single,none,4,no known property,42,stores,for free,1,skilled,2,none,yes,good
502,>=200,9,existing paid,radio/tv,1126,100<=X<500,>=7,2,male div/sep,none,4,real estate,49,stores,own,1,skilled,1,none,yes,good
503,0<=X<200,24,critical/order existing credit,radio/tv,1216,100<=X<500,<1,4,male single,none,4,no known property,38,bank,own,2,skilled,2,none,yes,bad
504,<0,24,existing paid,new car,1207,<100,<1,4,female div/dep/mar,none,4,life insurance,24,stores,rent,1,skilled,1,none,yes,bad
505,no checking,10,existing paid,new car,1309,no known savings,1<=X<4,4,male single,guarantor,4,life insurance,27,stores,own,1,unskilled resident,1,none,yes,bad
506,>=200,15,critical/order existing credit,used car,2360,500<=X<10000,1<=X<4,2,male single,none,2,car,36,stores,own,1,skilled,1,yes,yes,good
507,0<=X<200,15,all paid,new car,6850,100<=X<500,unemployed,1,male single,none,2,life insurance,34,stores,own,1,high qualif/self emp/mgmt,2,yes,yes,bad
508,no checking,24,existing paid,radio/tv,1413,<100,1<=X<4,4,male mar/wid,none,2,life insurance,28,stores,own,1,skilled,1,none,yes,good
509,no checking,39,existing paid,used car,8588,100<=X<500,>=7,4,male single,none,2,car,45,stores,own,1,high qualif/self emp/mgmt,1,yes,yes,good
510,<0,12,existing paid,new car,759,<100,4<=X<7,4,male single,none,2,real estate,26,stores,own,1,skilled,1,none,yes,bad
511,no checking,36,existing paid,used car,4686,<100,1<=X<4,2,male single,none,2,no known property,32,stores,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
512,>=200,15,existing paid,business,2687,<100,4<=X<7,2,male single,none,4,life insurance,26,stores,rent,1,skilled,1,yes,yes,good
513,0<=X<200,12,delayed previously,radio/tv,585,<100,1<=X<4,4,male mar/wid,co applicant,4,real estate,20,stores,rent,2,skilled,1,none,yes,good
